===== Starting symbols: ===
"(" 5.681818181818182e-3 
"``" 9.659090909090909e-2 
"abn" 5.681818181818182e-3 
"ap" 1.1363636363636364e-2
"at" 0.26136363636363635 
"at-hl" 5.681818181818182e-3 
"cc" 1.1363636363636364e-2
"cd" 2.2727272727272728e-2
"cs" 1.1363636363636364e-2
"dt" 1.1363636363636364e-2
"dts" 5.681818181818182e-3 
"ex" 5.681818181818182e-3 
"in" 6.25e-2 
"jj" 5.681818181818182e-3 
"nn" 2.8409090909090908e-2
"nn-hl" 1.1363636363636364e-2
"nn-tl" 8.522727272727272e-2 
"nns" 1.7045454545454544e-2
"nns-hl" 5.681818181818182e-3 
"np" 0.11363636363636363 
"np$" 5.681818181818182e-3 
"np-hl" 4.5454545454545456e-2
"pp$" 1.7045454545454544e-2
"pps" 8.522727272727272e-2 
"ppss" 1.1363636363636364e-2
"ppss+bem" 5.681818181818182e-3 
"rb" 1.1363636363636364e-2
"vb-hl" 5.681818181818182e-3 
"vbg" 5.681818181818182e-3 
"vbz-hl" 5.681818181818182e-3 
"wrb" 1.7045454545454544e-2

===== Final symbols: ======
"''" 0.13068181818181818 
"ap" 5.681818181818182e-3 
"cd" 5.6818181818181816e-2
"jj" 5.681818181818182e-3 
"nn" 0.30113636363636365 
"nn-tl" 6.25e-2 
"nns" 0.16477272727272727 
"nns-tl" 5.681818181818182e-3 
"np" 8.522727272727272e-2 
"np-tl" 5.681818181818182e-3 
"nr" 2.8409090909090908e-2
"ppo" 5.681818181818182e-3 
"rb" 2.2727272727272728e-2
"rbr" 5.681818181818182e-3 
"vb" 1.1363636363636364e-2
"vbd" 5.113636363636364e-2 
"vbg" 5.681818181818182e-3 
"vbn" 3.977272727272727e-2 
"wrb" 5.681818181818182e-3 

===== Transitions: ========
"'" "in" 0.25 
"'" "jj" 0.5 
"'" "nns" 0.25 
"''" "," 0.41379310344827586 
"''" "at" 3.4482758620689655e-2
"''" "cc" 3.4482758620689655e-2
"''" "cs" 0.10344827586206896 
"''" "dt" 3.4482758620689655e-2
"''" "in" 0.1724137931034483 
"''" "nn" 0.10344827586206896 
"''" "nns" 6.896551724137931e-2 

"''" "pp$" 3.4482758620689655e-2
"(" "at" 0.2 
"(" "cd" 0.4 
"(" "np" 0.4 
"(-hl" "nn-hl" 1.0 
")" "cd" 0.2 
")" "np" 0.6 
")" "vbn" 0.2 
")-hl" "--" 1.0 
"*" "ap" 9.090909090909091e-2 
"*" "ben" 9.090909090909091e-2 
"*" "ql" 9.090909090909091e-2 
"*" "rb" 9.090909090909091e-2 
"*" "vb" 0.2727272727272727 
"*" "vbn" 0.36363636363636365 
"," "``" 1.990049751243781e-2 
"," "abx" 4.975124378109453e-3 
"," "ap" 9.950248756218905e-3 
"," "at" 0.12437810945273632 
"," "bedz" 4.975124378109453e-3 
"," "ber" 4.975124378109453e-3 
"," "bez" 4.975124378109453e-3 
"," "cc" 6.467661691542288e-2 
"," "cd" 1.990049751243781e-2 
"," "cs" 3.482587064676617e-2 
"," "dod" 4.975124378109453e-3 
"," "ex" 9.950248756218905e-3 
"," "in" 8.955223880597014e-2 
"," "jj" 1.4925373134328358e-2
"," "jj-tl" 4.975124378109453e-3 
"," "jjt" 4.975124378109453e-3 
"," "md" 2.4875621890547265e-2
"," "nn" 7.462686567164178e-2 
"," "nn-tl" 1.990049751243781e-2 
"," "nns" 1.990049751243781e-2 
"," "np" 0.12935323383084577 
"," "np-tl" 1.4925373134328358e-2
"," "pn" 4.975124378109453e-3 
"," "pps" 3.482587064676617e-2 
